task,complexity,mode,run,input_tokens,output_tokens,cache_creation_input_tokens,cache_read_input_tokens,total_cost_usd,num_turns,duration_ms,duration_s,is_error,error
user_me,trivial,cli,1,9,359,28299,82528,0.22757975,4,33987,36.07,False,
user_me,trivial,cli,2,8,265,9262,72950,0.1014544999999999,3,12074,14.37,False,
user_me,trivial,cli,3,8,267,9264,72952,0.101518,3,13215,15.2,False,
user_me,trivial,cli_guided,1,7,157,9295,45940,0.08543075,2,11762,13.32,False,
user_me,trivial,cli_guided,2,7,166,9294,45938,0.0856685,2,12120,13.98,False,
user_me,trivial,cli_guided,3,7,159,9294,45938,0.0854785,2,10119,11.99,False,
user_me,trivial,mcp,1,13,226,43078,21576,0.2861675,3,10479,13.99,False,
user_me,trivial,mcp,2,13,229,19690,44964,0.1517614999999999,3,9612,11.83,False,
user_me,trivial,mcp,3,13,224,19685,44959,0.15159775,3,8758,10.95,False,
user_me,trivial,mcp_guided,1,13,218,20671,45449,0.1578502499999999,3,8858,11.15,False,
user_me,trivial,mcp_guided,2,13,220,20673,45451,0.15791875,3,13068,16.31,False,
user_me,trivial,mcp_guided,3,13,222,20675,45453,0.15798225,3,13819,16.37,False,
calendar_today,simple,cli,1,10,755,14789,129199,0.1764097499999999,5,27143,29.59,False,
calendar_today,simple,cli,2,9,686,14420,100916,0.158232,4,20772,22.48,False,
calendar_today,simple,cli,3,10,754,14788,129197,0.1763775,5,19133,20.5,False,
calendar_today,simple,cli_guided,1,7,398,13970,45956,0.1207294999999999,2,12230,14.04,False,
calendar_today,simple,cli_guided,2,7,406,13978,45956,0.1209794999999999,2,14519,16.15,False,
calendar_today,simple,cli_guided,3,7,395,13967,45956,0.1206357499999999,2,14188,15.81,False,
calendar_today,simple,mcp,1,13,505,24666,45211,0.1899119999999999,3,14148,16.4,False,
calendar_today,simple,mcp,2,13,505,24662,45209,0.189886,3,13575,15.85,False,
calendar_today,simple,mcp,3,13,508,24661,45210,0.18995525,3,23221,26.06,False,
calendar_today,simple,mcp_guided,1,13,497,25646,45705,0.1960839999999999,3,21594,23.65,False,
calendar_today,simple,mcp_guided,2,13,500,25645,45706,0.19615325,3,14015,16.46,False,
calendar_today,simple,mcp_guided,3,13,497,25646,45705,0.196089,3,17053,20.45,False,
mail_recent,simple,cli,1,7,395,9784,45530,0.0942379999999999,2,21289,23.78,False,
mail_recent,simple,cli,2,7,385,9785,45528,0.09400325,2,21616,23.81,False,
mail_recent,simple,cli,3,7,361,9780,45524,0.09336,2,21162,23.41,False,
mail_recent,simple,cli_guided,1,7,369,10209,45945,0.09647175,2,24423,26.48,False,
mail_recent,simple,cli_guided,2,7,367,10214,45947,0.096454,2,30445,32.47,False,
mail_recent,simple,cli_guided,3,7,372,10210,45947,0.096539,2,16329,18.39,False,
mail_recent,simple,mcp,1,13,432,20762,45104,0.1636025,3,9905,11.97,False,
mail_recent,simple,mcp,2,13,402,20758,45102,0.1628214999999999,3,13198,15.83,False,
mail_recent,simple,mcp,3,13,431,20761,45103,0.16357075,3,13741,15.91,False,
mail_recent,simple,mcp_guided,1,13,508,22023,45597,0.1736202499999999,3,13972,15.86,False,
mail_recent,simple,mcp_guided,2,13,509,22012,45592,0.173579,3,13023,15.58,False,
mail_recent,simple,mcp_guided,3,13,466,22024,45598,0.172582,3,13926,16.42,False,
mail_search,medium,cli,1,10,605,12928,129375,0.1611115,5,23710,25.13,False,
mail_search,medium,cli,2,10,603,12928,129375,0.1610565,5,19470,21.56,False,
mail_search,medium,cli,3,10,602,12923,129364,0.16099975,5,21722,23.56,False,
mail_search,medium,cli_guided,1,8,413,12445,73818,0.12550425,3,12459,14.0,False,
mail_search,medium,cli_guided,2,8,416,12862,73423,0.127988,3,11408,12.94,False,
mail_search,medium,cli_guided,3,8,408,12446,73818,0.1253855,3,10916,12.66,False,
mail_search,medium,mcp,1,13,362,22625,45086,0.17351325,3,13858,16.28,False,
mail_search,medium,mcp,2,13,368,22617,45082,0.17361125,3,11862,15.23,False,
mail_search,medium,mcp,3,13,362,22617,45082,0.17346125,3,14315,16.52,False,
mail_search,medium,mcp_guided,1,13,396,23639,45578,0.18094675,3,13268,15.4,False,
mail_search,medium,mcp_guided,2,13,414,23660,45581,0.1815295,3,12789,15.08,False,
mail_search,medium,mcp_guided,3,13,384,22115,45575,0.17112025,3,12357,14.63,False,
calendar_free_slot,medium,cli,1,9,608,10026,101417,0.129087,4,16799,18.22,False,
calendar_free_slot,medium,cli,2,9,545,9910,101175,0.126636,4,13913,15.45,False,
calendar_free_slot,medium,cli,3,9,625,9906,101163,0.128635,4,16461,18.11,False,
calendar_free_slot,medium,cli_guided,1,7,278,9415,45979,0.0892892499999999,2,13442,14.94,False,
calendar_free_slot,medium,cli_guided,2,7,269,9406,45973,0.089005,2,10272,12.14,False,
calendar_free_slot,medium,cli_guided,3,7,265,9411,45977,0.08890325,2,9701,11.39,False,
calendar_free_slot,medium,mcp,1,19,664,20965,67935,0.18216475,4,18315,20.4,False,
calendar_free_slot,medium,mcp,2,21,1103,21109,113091,0.21660275,6,23250,25.49,False,
calendar_free_slot,medium,mcp,3,28,1511,22308,159583,0.2576025,8,28248,30.5,False,
calendar_free_slot,medium,mcp_guided,1,13,366,21044,45662,0.164022,3,12703,15.24,False,
calendar_free_slot,medium,mcp_guided,2,13,364,21039,45659,0.16395925,3,12901,17.35,False,
calendar_free_slot,medium,mcp_guided,3,13,362,21033,45655,0.1638697499999999,3,17658,20.94,False,
chat_search_read,medium,cli,1,11,718,11315,158701,0.1685492499999999,6,39035,41.05,False,
chat_search_read,medium,cli,2,11,705,11301,158692,0.16812725,6,41309,43.47,False,
chat_search_read,medium,cli,3,12,845,11706,187900,0.1887575,7,42171,44.63,False,
chat_search_read,medium,cli_guided,1,8,393,10300,73798,0.1116139999999999,3,24720,27.26,False,
chat_search_read,medium,cli_guided,2,8,389,10302,73800,0.1115275,3,30621,33.02,False,
chat_search_read,medium,cli_guided,3,8,386,10299,73797,0.11143225,3,24116,26.24,False,
chat_search_read,medium,mcp,1,14,440,20935,67372,0.17606975,4,16884,19.95,False,
chat_search_read,medium,mcp,2,20,532,31074,79305,0.247735,5,16027,19.28,False,
chat_search_read,medium,mcp,3,14,447,31102,57234,0.2347194999999999,4,12362,15.6,False,
chat_search_read,medium,mcp_guided,1,14,447,32590,57730,0.2442675,4,13184,16.45,False,
chat_search_read,medium,mcp_guided,2,14,445,21929,68372,0.18290725,4,16084,19.19,False,
chat_search_read,medium,mcp_guided,3,14,445,21933,68376,0.18293925,4,20721,24.06,False,
daily_briefing,complex,cli,1,15,2332,19585,299004,0.33074825,10,69832,71.68,False,
daily_briefing,complex,cli,2,14,1921,17745,264897,0.29191475,9,66980,69.15,False,
daily_briefing,complex,cli,3,14,2308,17796,264974,0.301957,9,62129,64.14,False,
daily_briefing,complex,cli_guided,1,9,1046,16142,111392,0.1832384999999999,4,38396,40.4,False,
daily_briefing,complex,cli_guided,2,9,1353,16149,111400,0.19096625,4,44140,46.46,False,
daily_briefing,complex,cli_guided,3,9,1018,16113,111346,0.18233925,4,35483,37.92,False,
