task,complexity,mode,run,input_tokens,output_tokens,cache_creation_input_tokens,cache_read_input_tokens,total_cost_usd,num_turns,duration_ms,duration_s,is_error,error
user_me,trivial,cli,1,8,272,9272,72961,0.1016925,3,25966,27.87,False,
user_me,trivial,cli,2,9,353,9772,101027,0.1208755,4,76739,78.67,False,
user_me,trivial,cli,3,9,353,9772,101028,0.120886,4,27141,29.09,False,
user_me,trivial,mcp,1,13,215,29505,35127,0.20781675,3,8204,11.79,False,
user_me,trivial,mcp,2,13,220,19685,44957,0.15150175,3,8444,11.31,False,
user_me,trivial,mcp,3,13,195,19664,44934,0.150719,3,7939,10.82,False,
calendar_today,simple,cli,1,10,572,9986,129077,0.141755,5,29671,31.68,False,
calendar_today,simple,cli,2,10,538,9967,129030,0.14073775,5,30835,32.76,False,
calendar_today,simple,cli,3,10,535,9997,129196,0.1409582499999999,5,35799,37.65,False,
calendar_today,simple,mcp,1,13,323,19877,45211,0.1554307499999999,3,8446,11.55,False,
calendar_today,simple,mcp,2,13,325,19880,45214,0.155501,3,8017,11.06,False,
calendar_today,simple,mcp,3,13,323,19877,45211,0.1554307499999999,3,7664,10.55,False,
mail_recent,simple,cli,1,8,436,9380,73028,0.1065069999999999,3,42510,44.36,False,
mail_recent,simple,cli,2,8,419,9376,73029,0.1060525,3,23232,25.38,False,
mail_recent,simple,cli,3,8,430,9381,73014,0.10634625,3,24737,26.56,False,
mail_recent,simple,mcp,1,13,324,19960,45106,0.155901,3,8605,11.46,False,
mail_recent,simple,mcp,2,13,337,19957,45105,0.1561867499999999,3,9456,12.34,False,
mail_recent,simple,mcp,3,13,265,29891,35127,0.21150025,3,10801,13.76,False,
mail_search,medium,cli,1,10,561,12949,129353,0.16013175,5,32188,34.13,False,
mail_search,medium,cli,2,10,560,12949,129353,0.16010675,5,29786,31.82,False,
mail_search,medium,cli,3,10,567,12954,129364,0.1603185,5,38168,40.01,False,
mail_search,medium,mcp,1,13,319,22657,45087,0.17263375,3,11388,14.59,False,
mail_search,medium,mcp,2,13,359,22677,45109,0.17376975,3,12054,15.21,False,
mail_search,medium,mcp,3,13,320,22650,45084,0.1726135,3,11140,14.2,False,
calendar_free_slot,medium,cli,1,9,508,9769,101169,0.1248267499999999,4,30981,32.97,False,
calendar_free_slot,medium,cli,2,9,509,9760,101126,0.1248039999999999,4,28521,30.55,False,
calendar_free_slot,medium,cli,3,9,521,9912,101461,0.1261864999999999,4,30570,32.65,False,
calendar_free_slot,medium,mcp,1,20,765,20680,89836,0.193864,5,17323,20.22,False,
calendar_free_slot,medium,mcp,2,21,1063,21073,112877,0.21529575,6,34283,37.22,False,
calendar_free_slot,medium,mcp,3,21,944,21442,112171,0.214244,6,21057,24.05,False,
chat_search_read,medium,cli,1,11,715,11308,158702,0.1684259999999999,6,37348,39.33,False,
chat_search_read,medium,cli,2,11,734,11321,158709,0.16898575,6,39844,41.83,False,
chat_search_read,medium,cli,3,12,850,11708,187928,0.1889189999999999,7,42314,44.65,False,
chat_search_read,medium,mcp,1,14,448,20951,67396,0.17638175,4,14707,17.93,False,
chat_search_read,medium,mcp,2,20,535,21070,89299,0.190282,5,16903,19.81,False,
chat_search_read,medium,mcp,3,14,448,31094,57231,0.234698,4,12020,15.76,False,
